region,NetMigrationRate1019
alabama,1.059
alaska,-6.024
arizona,9.253
arkansas,1.082
california,0.256
colorado,8.787
connecticut,-1.845
delaware,5.786
district of columbia,9.877
florida,12.603
georgia,4.501
hawaii,-0.935
idaho,8.195
illinois,-4.775
indiana,0.748
iowa,0.574
kansas,-2.03
kentucky,0.697
louisiana,-1.367
maine,2.086
maryland,0.5
massachusetts,2.84
michigan,-0.617
minnesota,1.628
mississippi,-2.03
missouri,-0.023
montana,5.589
nebraska,0.763
nevada,9.648
new hampshire,2.715
new jersey,-2.164
new mexico,-1.918
new york,-3.497
north carolina,6.446
north dakota,7.067
ohio,-0.397
oklahoma,2.17
oregon,7.55
pennsylvania,0.05
rhode island,-0.353
south carolina,8.963
south dakota,3.312
tennessee,5.287
texas,7.664
utah,4.622
vermont,-0.577
virginia,2.238
washington,8.353
west virginia,-2.059
wisconsin,-0.227
wyoming,-1.717
